Current Pose: X: -3.50999, Y: -10.1571, Z: 0.178965, Yaw: 1.95193, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75499, Y: 5.07854, Z: -0.0894826, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: 3.50999, Y: 10.1571, Z: -0.178965, 
Current Pose: X: -3.50923, Y: -10.1574, Z: 0.177565, Yaw: 1.95327, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75461, Y: 5.07869, Z: -0.0887825, Velocity_in: X: -0.00185802, Y: 0.000550402, Z: 0.0128567, Error: X: 3.50923, Y: 10.1574, Z: -0.177565, 
Current Pose: X: -3.50916, Y: -10.1574, Z: 0.177437, Yaw: 1.95335, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75458, Y: 5.07872, Z: -0.0887187, Velocity_in: X: -0.00191036, Y: 0.000279189, Z: 0.012686, Error: X: 3.50916, Y: 10.1574, Z: -0.177437, 
Current Pose: X: -3.5091, Y: -10.1575, Z: 0.177363, Yaw: 1.95343, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75455, Y: 5.07876, Z: -0.0886813, Velocity_in: X: -0.00234974, Y: 0.000551882, Z: 0.0127839, Error: X: 3.5091, Y: 10.1575, Z: -0.177363, 
Current Pose: X: -3.50903, Y: -10.1576, Z: 0.177299, Yaw: 1.95355, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75452, Y: 5.0788, Z: -0.0886495, Velocity_in: X: -0.00236277, Y: 0.000305346, Z: 0.0122242, Error: X: 3.50903, Y: 10.1576, Z: -0.177299, 
Current Pose: X: -3.50897, Y: -10.1577, Z: 0.177202, Yaw: 1.95356, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75449, Y: 5.07883, Z: -0.088601, Velocity_in: X: -0.00227042, Y: 0.000353632, Z: 0.0124766, Error: X: 3.50897, Y: 10.1577, Z: -0.177202, 
Current Pose: X: -3.5089, Y: -10.1577, Z: 0.177053, Yaw: 1.95365, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75445, Y: 5.07886, Z: -0.0885264, Velocity_in: X: -0.00225861, Y: 0.000143269, Z: 0.0126597, Error: X: 3.5089, Y: 10.1577, Z: -0.177053, 
Current Pose: X: -3.50879, Y: -10.1578, Z: 0.17713, Yaw: 1.9537, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.7544, Y: 5.07888, Z: -0.0885652, Velocity_in: X: -0.00221201, Y: -6.34891e-05, Z: 0.012747, Error: X: 3.50879, Y: 10.1578, Z: -0.17713, 
Current Pose: X: -3.50871, Y: -10.1578, Z: 0.177242, Yaw: 1.95373, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75435, Y: 5.07889, Z: -0.088621, Velocity_in: X: -0.00248942, Y: -0.000231399, Z: 0.0130115, Error: X: 3.50871, Y: 10.1578, Z: -0.177242, 
Current Pose: X: -3.50859, Y: -10.1578, Z: 0.177425, Yaw: 1.95391, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.7543, Y: 5.07891, Z: -0.0887123, Velocity_in: X: -0.00220232, Y: -0.000704333, Z: 0.0127755, Error: X: 3.50859, Y: 10.1578, Z: -0.177425, 
Current Pose: X: -3.50849, Y: -10.1578, Z: 0.177637, Yaw: 1.95398, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75424, Y: 5.07892, Z: -0.0888186, Velocity_in: X: -0.00251297, Y: -0.000646657, Z: 0.0134036, Error: X: 3.50849, Y: 10.1578, Z: -0.177637, 
Current Pose: X: -3.50842, Y: -10.1579, Z: 0.177795, Yaw: 1.954, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75421, Y: 5.07894, Z: -0.0888974, Velocity_in: X: -0.0025647, Y: -0.000425537, Z: 0.0131872, Error: X: 3.50842, Y: 10.1579, Z: -0.177795, 
Current Pose: X: -3.50838, Y: -10.1579, Z: 0.177782, Yaw: 1.95405, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75419, Y: 5.07895, Z: -0.0888909, Velocity_in: X: -0.0023457, Y: -0.000315342, Z: 0.0128747, Error: X: 3.50838, Y: 10.1579, Z: -0.177782, 
Current Pose: X: -3.50834, Y: -10.1579, Z: 0.177832, Yaw: 1.95403, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75417, Y: 5.07897, Z: -0.088916, Velocity_in: X: -0.0025432, Y: -0.000269452, Z: 0.0129602, Error: X: 3.50834, Y: 10.1579, Z: -0.177832, 
